colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,VALLARTA SAN JORGE TUCIDIDES 156 44690 Guadalajara,20.6755195,-103.3988528
LA HACIENDITA,SAN MARTIN,2341,45230,zapopan,LA HACIENDITA SAN MARTIN 2341 45230 zapopan,20.6147624,-103.4475643
HELIODORO HERNANDEZ,CELIA PACHECO,3713,44720,Guadalajara,HELIODORO HERNANDEZ CELIA PACHECO 3713 44720 Guadalajara,20.6963895,-103.2787599
PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,zapopan,PASEOS DEL BRISE#O PASEOS DE LOS I 1 45236 zapopan,20.7408232,-103.3687889
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS GA 4468 45050 zapopan,20.6569105,-103.4128895
LADRON DE GUEVARA,AVENIDA MEXICO,2582,44600,Guadalajara,LADRON DE GUEVARA AVENIDA MEXICO 2582 44600 Guadalajara,20.6800329,-103.3822859
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,UNIDAD BELISARIO DOM JOSE LUIS MORA 1212 44329 Guadalajara,20.6848023,-103.3217926
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,zapopan,BUGAMBILIAS PASEO DE LA VIC 4952 45238 zapopan,20.6024902,-103.4469054
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,COLINAS DEL REY AV TORREMOLINOS 3500 45130 zapopan,20.7529511,-103.4073257
LOMAS DE POLANCO,JOSE CARRILLO,3528,44960,Guadalajara,LOMAS DE POLANCO JOSE CARRILLO 3528 44960 Guadalajara,20.6243897,-103.3822922
BOSQUES D L VICTORIA,PENINSULA,2713,44540,Guadalajara,BOSQUES D L VICTORIA PENINSULA 2713 44540 Guadalajara,20.6463741,-103.3890559
FRACC JARDINES DE BELEN,TORONJA,41,45200,zapopan,FRACC JARDINES DE BELEN TORONJA 41 45200 zapopan,20.8127107,-103.482546
EL MIRADOR,EMILIANO ZAPATA,780,44370,Guadalajara,EL MIRADOR EMILIANO ZAPATA 780 44370 Guadalajara,20.6820247,-103.3161386
VILLA FONTANA DIAMANTE,FUENTE GRAFITO,8884,45200,zapopan,VILLA FONTANA DIAMANTE FUENTE GRAFITO 8884 45200 zapopan,20.7797176,-103.4751321
EL CENTINELA 2,HIDALGO,310,45187,zapopan,EL CENTINELA 2 HIDALGO 310 45187 zapopan,20.7588184,-103.3796682
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,ZALATE II OTILIO GONZALEZ 1116 44760 Guadalajara,20.6793445,-103.2748488
